CCc,percent carbon of dry cover crop biomass
CCn,percent nitrogen of dry cover crop biomass
CCcn,carbon to nitrogen ratio of dry cover crop biomass
Wc,percent carbon of dry weed biomass
Wn,percent nitrogen of dry weed biomass
Wcn,carbon to nitrogen ratio of dry weed biomass
inputC,grams of carbon per meter squared of aboveground cover crop biomass (covers + weeds)
inputN,grams of nitrogen per meter squared of aboveground cover crop biomass (covers + weeds)
Weeds,grams of weed biomass per meter squared
Wheat,grams of wheat biomass per meter squared
Clover,grams of clover biomass per meter squared
Radish,grams of radish biomass per meter squared
Vetch,grams of vetch biomass per meter squared
Grass,grams of grass (rye+oats) biomass per meter squared
Yield,main crop yield at the end of the growing season in bushels per acre (corn/soybean) or lbs per acre (cotton)
Yield.crop,type of crop associated with yield measurement
tissue.N.percent,foliar nutrient concentration of main crop 
tissue.P.percent,foliar nutrient concentration of main crop 
tissue.K.percent,foliar nutrient concentration of main crop 
tissue.Ca.percent,foliar nutrient concentration of main crop 
tissue.Mg.percent,foliar nutrient concentration of main crop 
tissue.S.percent,foliar nutrient concentration of main crop 
tissue.B.ppm,foliar nutrient concentration of main crop 
tissue.Cu.ppm,foliar nutrient concentration of main crop 
tissue.Fe.ppm,foliar nutrient concentration of main crop 
tissue.Mn.ppm,foliar nutrient concentration of main crop 
tissue.Zn.ppm,foliar nutrient concentration of main crop 
tissue.Na.ppm,foliar nutrient concentration of main crop 
Notes,notes on whether measurements seemed high or low
